project_id,deployment_id,image_id,sequence_id,filename,location,is_blank,identified_by,wi_taxon_id,class,order,family,genus,species,common_name,uncertainty,timestamp,age,sex,animal_recognizable,individual_id,number_of_objects,individual_animal_notes,behavior,highlighted,markings,cv_confidence,license,fuzzed,deployment_fuzzed
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,4e147ca5-1f4c-4236-93c6-83c616b6b442,,IMG_0163.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/4e147ca5-1f4c-4236-93c6-83c616b6b442,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:48:48,,,,,1,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,483935e9-638f-48bf-a4aa-71bbbd2d1d8b,,IMG_0164.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/483935e9-638f-48bf-a4aa-71bbbd2d1d8b,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:48:49,,,,,1,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,a787862f-d10c-4fe8-b734-71d37e36d1d3,,IMG_0167.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/a787862f-d10c-4fe8-b734-71d37e36d1d3,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:48:52,,,,,1,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,959301f1-254f-4bbe-b977-6c7b58bb78db,,IMG_0170.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/959301f1-254f-4bbe-b977-6c7b58bb78db,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:48:55,,,,,2,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,c008b160-864a-49a9-a800-b7c909ec4237,,IMG_0174.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/c008b160-864a-49a9-a800-b7c909ec4237,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:48:58,,,,,4,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,5411bd97-9ab2-4fbe-8515-96665de0c407,,IMG_0176.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/5411bd97-9ab2-4fbe-8515-96665de0c407,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:49:01,,,,,4,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,4351de2b-d635-4093-9408-2e18910f5b70,,IMG_0180.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/4351de2b-d635-4093-9408-2e18910f5b70,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:49:05,,,,,2,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,dabc1b22-1452-4389-862b-196c8a905d70,,IMG_0181.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/dabc1b22-1452-4389-862b-196c8a905d70,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:49:06,,,,,3,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,1c18595b-bb5d-42fc-ba14-1d111e79bfb2,,IMG_0184.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/1c18595b-bb5d-42fc-ba14-1d111e79bfb2,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:49:09,,,,,4,,,false,,,CC-BY-NC,true,false
2003040,54eae8b5-5b41-41f3-958b-ca41e171ab34,d69cc458-87f0-4907-8d78-8d1af7b00db9,,IMG_0187.JPG,https://app.wildlifeinsights.org/download/2026000/project/2003040/data-files/d69cc458-87f0-4907-8d78-8d1af7b00db9,,Dennis Babaasa,982c7064-3baa-40a2-bf88-917cbab80b6b,Mammalia,Primates,Hominidae,Gorilla,beringei,Eastern Gorilla,,2025-10-01 06:49:25,,,,,1,,,false,,,CC-BY-NC,true,false
